Holdings details

S&P 500 ETF (VOO)


Equity,as of 09/30/2025

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,BFX1V56,Dayforce Inc,DAY,0.02%,Human Resource & Employment Services,US,---,"$271,105,228.15","3,935,335"
,2019479,BXP Inc,BXP,0.02%,Office REITs,US,---,"$269,808,257.88","3,629,382"
,2331430,Assurant Inc,AIZ,0.02%,Property & Casualty Insurance,US,---,"$269,072,866.20","1,242,257"
,2567503,Host Hotels & Resorts Inc,HST,0.02%,Hotel & Resort REITs,US,---,"$268,041,376.24","15,748,612"
,2507457,Akamai Technologies Inc,AKAM,0.02%,Internet Services & Infrastructure,US,---,"$267,573,486.32","3,531,857"
,2469193,Jack Henry & Associates Inc,JKHY,0.02%,Transaction & Payment Processing Services,US,---,"$267,084,658.01","1,793,357"
,2329770,FactSet Research Systems Inc,FDS,0.02%,Financial Exchanges & Data,US,---,"$267,066,264.49","932,201"
,2963811,Wynn Resorts Ltd,WYNN,0.02%,Casinos & Gaming,US,---,"$266,698,599.19","2,079,197"
,BMTQB43,Solventum Corp,SOLV,0.02%,Health Care Supplies,US,---,"$265,070,154.00","3,631,098"
,2048804,Pinnacle West Capital Corp,PNW,0.02%,Electric Utilities,US,---,"$263,918,872.32","2,943,552"
,BL95MY0,Paycom Software Inc,PAYC,0.02%,Human Resource & Employment Services,US,---,"$257,098,898.94","1,235,221"
,2212706,Molina Healthcare Inc,MOH,0.02%,Managed Health Care,US,---,"$255,370,302.72","1,334,502"
,2445416,JB Hunt Transport Services Inc,JBHT,0.02%,Cargo Ground Transportation,US,---,"$252,686,386.10","1,883,330"
,B28XP76,Invesco Ltd,IVZ,0.02%,Asset Management & Custody Banks,US,---,"$252,105,943.18","10,989,797"
,2466321,Interpublic Group of Cos Inc/The,IPG,0.02%,Advertising,US,---,"$251,887,219.71","9,024,981"
,2305844,Revvity Inc,RVTY,0.02%,Life Sciences Tools & Services,US,---,"$250,728,171.65","2,860,561"
,2781585,Pool Corp,POOL,0.02%,Distributors,US,---,"$250,606,325.75","808,225"
,2414580,Hasbro Inc,HAS,0.02%,Leisure Products,US,---,"$248,993,553.50","3,282,710"
,B6197Q2,Generac Holdings Inc,GNRC,0.02%,Electrical Components & Equipment,US,---,"$241,954,603.20","1,445,368"
,2046853,Albemarle Corp,ALB,0.02%,Specialty Chemicals,US,---,"$235,066,568.44","2,899,193"
,2002479,AES Corp/The,AES,0.02%,Independent Power Producers & Energy Traders,US,---,"$230,903,688.68","17,545,873"
,BGSXTS3,Moderna Inc,MRNA,0.02%,Biotechnology,US,---,"$220,452,824.97","8,534,759"
,2215460,Conagra Brands Inc,CAG,0.02%,Packaged Foods & Meats,US,---,"$216,154,859.90","11,805,290"
,BSHZ3Q0,Bio-Techne Corp,TECH,0.02%,Life Sciences Tools & Services,US,---,"$214,947,866.92","3,863,884"
,BNNF1C1,Apa Corp,APA,0.02%,Oil & Gas Exploration & Production,US,---,"$214,071,758.32","8,816,794"
,BK80XH9,Match Group Inc,MTCH,0.01%,Interactive Media & Services,US,---,"$209,398,787.76","5,928,618"
,BJJMGY5,Fox Corp,FOX,0.01%,Broadcasting,US,---,"$209,276,703.44","3,652,936"
,2679204,Align Technology Inc,ALGN,0.01%,Health Care Supplies,US,---,"$208,072,313.88","1,661,654"
,B44Z3T8,EPAM Systems Inc,EPAM,0.01%,IT Consulting & Other Services,US,---,"$206,972,092.15","1,372,585"
,2816023,A O Smith Corp,AOS,0.01%,Building Products,US,---,"$206,660,014.68","2,815,148"
,BDQZFJ3,Lamb Weston Holdings Inc,LW,0.01%,Packaged Foods & Meats,US,---,"$199,377,837.12","3,432,814"
,2311711,Erie Indemnity Co,ERIE,0.01%,Property & Casualty Insurance,US,---,"$199,025,624.32","625,552"
,BN7P9B2,Federal Realty Investment Trust,FRT,0.01%,Retail REITs,US,---,"$196,036,167.03","1,935,013"
,2971029,LKQ Corp,LKQ,0.01%,Distributors,US,---,"$193,648,490.10","6,340,815"
,2604336,Charles River Laboratories International Inc,CRL,0.01%,Life Sciences Tools & Services,US,---,"$189,866,087.52","1,213,512"
,B067BM3,Molson Coors Beverage Co,TAP,0.01%,Brewers,US,---,"$188,836,711.75","4,173,187"
,2298386,Eastman Chemical Co,EMN,0.01%,Specialty Chemicals,US,---,"$178,404,514.60","2,829,572"
,2437264,Hormel Foods Corp,HRL,0.01%,Packaged Foods & Meats,US,---,"$177,705,638.72","7,182,928"
,2350684,Franklin Resources Inc,BEN,0.01%,Asset Management & Custody Banks,US,---,"$174,614,337.54","7,549,258"
,2547419,MGM Resorts International,MGM,0.01%,Casinos & Gaming,US,---,"$174,345,761.52","5,030,172"
,2416962,Henry Schein Inc,HSIC,0.01%,Health Care Distributors,US,---,"$168,353,345.56","2,536,588"
,2983563,CarMax Inc,KMX,0.01%,Automotive Retail,US,---,"$165,969,912.22","3,698,906"
,2598699,Mohawk Industries Inc,MHK,0.01%,Home Furnishings,US,---,"$165,699,586.80","1,285,290"
,2162845,Campbell's Company/The,CPB,0.01%,Packaged Foods & Meats,US,---,"$153,127,567.24","4,848,878"
,BSNMNQ5,Paramount Skydance Corp,PSKY,0.01%,Broadcasting,US,---,"$144,005,531.12","7,611,286"
,2146838,Brown-Forman Corp,BF/B,<0.01%,Distillers & Vintners,US,---,"$117,513,551.68","4,339,496"
,2898087,DaVita Inc,DVA,<0.01%,Health Care Services,US,---,"$116,845,878.00","879,400"
,BBGVT51,News Corp,NWS,<0.01%,Publishing,US,---,"$101,221,826.00","2,929,720"
,BQBG6P5,ABIOMED INC-CVR,2223637D,<0.01%,Health Care Equipment,US,---,$183.60,180


Fixed income,as of 09/30/2025

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,MARKET VALUE*,FACEAMOUNT,COUPONYIELD,MATURITY DATE



Short-term reserves,as of 09/30/2025

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,MARKET VALUE*
,---,MKTLIQ,---,0.43%,"$6,083,413,408.40"
,---,US Dollar,USD,0.14%,"$2,044,538,930.43"
,---,SLBBH1142,---,<0.01%,"$11,518,629.00"



"** There may be deviations when applying fair value and other considerations."



"Sector categories are based on the Global Industry Classification Standard (“GICS”), except for the “Other” category (if applicable), which includes securities that have not been provided a GICS classification as of the effective reporting period."



"For more information about Vanguard funds and Vanguard ETF Shares, visit advisors.vanguard.com or call 800-997-2798 to obtain a prospectus or, if available, a summary prospectus. Investment objectives, risks, charges, expenses, and other important information about a fund are contained in the prospectus; read and consider it carefully before investing."
